method,setting,split,raw_path,judge_path,summary_path,judge_evaluator_version,judge_prompt_version,dimension,value,count,rate
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,completeness,complete,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,completeness,partial,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,completeness,missing,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,accuracy,accurate,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,accuracy,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,accuracy,incorrect,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,noise,low,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,noise,medium,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,noise,high,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,granularity,appropriate,2,1.0
