method,setting,split,pred_path,metric_path,evaluation_type,created_at
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.slot_metrics.json,slot_metrics,2026-05-16T10:53:49.668776+00:00
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.slot_metrics.json,slot_metrics,2026-05-16T12:22:58.407155+00:00
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.slot_metrics.json,slot_metrics,2026-05-16T12:22:58.511325+00:00
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.slot_metrics.json,slot_metrics,2026-05-16T12:22:58.614812+00:00
llm,pi_dev20_official_only_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.slot_metrics.json,slot_metrics,2026-05-16T12:22:58.719039+00:00
llm,pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini.slot_metrics.json,slot_metrics,2026-05-16T12:22:58.823049+00:00
llm,pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini.slot_metrics.json,slot_metrics,2026-05-16T12:22:58.934239+00:00
llm,pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini.slot_metrics.json,slot_metrics,2026-05-16T12:28:04.977416+00:00
llm,pi_test59_baseline_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_baseline_3shot_gpt-5.4-mini.slot_metrics.json,slot_metrics,2026-05-16T12:53:35.916278+00:00
llm,pi_test59_baseline_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_baseline_5shot_gpt-5.4-mini.slot_metrics.json,slot_metrics,2026-05-16T12:53:36.034193+00:00
llm,pi_test59_official_only_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_only_3shot_gpt-5.4-mini.slot_metrics.json,slot_metrics,2026-05-16T12:53:36.154829+00:00
llm,pi_test59_official_only_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_only_5shot_gpt-5.4-mini.slot_metrics.json,slot_metrics,2026-05-16T12:53:36.318656+00:00
llm,pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini.slot_metrics.json,slot_metrics,2026-05-16T12:53:36.454769+00:00
