method,setting,split,raw_path,quality_path,valid_path,validator_version,invalid_json_rate,schema_invalid_rate,non_extractive_span_rate,invalid_offset_rate,ambiguous_match_rate,duplicate_span_rate,overlap_conflict_document_rate,overlap_conflict_token_rate,raw_rows,response_items,written_spans
openai_llm,zero_shot_limit2,test,results/preds/llm/openai_zero_shot/raw.jsonl,results/metrics/openai_zero_shot.quality.json,results/preds/llm/openai_zero_shot/validated.spans.jsonl,phase6-v1,0.0,0.0,0.9565217391304348,0.043478260869565216,0.0,0.0,0.0,0.0,2,23,0
openai_llm,zero_shot_text,test,results/preds/llm/openai_zero_shot_text/raw.jsonl,results/metrics/openai_zero_shot_text.quality.json,results/preds/llm/openai_zero_shot_text/validated.spans.jsonl,phase6-v1,0.0,0.0,0.005946481665014866,0.0004955401387512388,0.11199207135777998,0.0,0.08947368421052632,0.0024718059632318863,191,2018,1779
openai_llm,few_shot_text,test,results/preds/llm/openai_few_shot_text/raw.jsonl,results/metrics/openai_few_shot_text.quality.json,results/preds/llm/openai_few_shot_text/validated.spans.jsonl,phase6-v1,0.0,0.0,0.0066493206128939,0.0005782017924255566,0.16189650187915583,0.0006958942240779402,0.2094240837696335,0.004113239610690561,191,3459,2872
openai_llm,zero_shot_text_v2,test,results/preds/llm/openai_zero_shot_text_v2/raw.jsonl,results/metrics/openai_zero_shot_text_v2.quality.json,results/preds/llm/openai_zero_shot_text_v2/validated.spans.jsonl,phase6-v1,0.0,0.0,0.006785411365564037,0.0008481764206955047,0.09245122985581,0.0,0.13089005235602094,0.0034180441835315926,191,2358,2122
openai_llm,few_shot_text_v2,test,results/preds/llm/openai_few_shot_text_v2/raw.jsonl,results/metrics/openai_few_shot_text_v2.quality.json,results/preds/llm/openai_few_shot_text_v2/validated.spans.jsonl,phase6-v1,0.0,0.0,0.006095791001451379,0.0008708272859216256,0.13497822931785197,0.0010148849797023004,0.19895287958115182,0.0042097945311293065,191,3445,2953
openai_llm,few_shot_text_v3,test,results/preds/llm/openai_few_shot_text_v3/raw.jsonl,results/metrics/openai_few_shot_text_v3.quality.json,results/preds/llm/openai_few_shot_text_v3/validated.spans.jsonl,phase6-v1,0.0,0.0,0.00831899024670109,0.001434308663224326,0.11847389558232932,0.0003290556103981573,0.27225130890052357,0.008110613316854627,191,3486,3038
openai_llm,few_shot_text_v3_i_only,test,results/preds/llm/openai_few_shot_text_v3_i_only/raw.jsonl,results/metrics/openai_few_shot_text_v3_i_only.quality.json,results/preds/llm/openai_few_shot_text_v3_i_only/validated.spans.jsonl,phase6-v1,0.0,0.0,0.008534850640113799,0.0011379800853485065,0.13229018492176386,0.0003315649867374005,0.3036649214659686,0.007318862969256913,191,3515,3015
openai_llm,few_shot_text_v4,test,results/preds/llm/openai_few_shot_text_v4/raw.jsonl,results/metrics/openai_few_shot_text_v4.quality.json,results/preds/llm/openai_few_shot_text_v4/validated.spans.jsonl,phase6-v1,0.0,0.0,0.007227671657201859,0.0007743933918430562,0.1644295302013423,0.0009357454772301934,0.3193717277486911,0.00760852773057315,191,3874,3203
openai_llm,few_shot_text_v4_i_only,test,results/preds/llm/openai_few_shot_text_v4_i_only/raw.jsonl,results/metrics/openai_few_shot_text_v4_i_only.quality.json,results/preds/llm/openai_few_shot_text_v4_i_only/validated.spans.jsonl,phase6-v1,0.0,0.0,0.006822356336919444,0.0005247966413014956,0.1535030175806875,0.00031269543464665416,0.28272251308900526,0.005909161130851228,191,3811,3197
openai_llm,few_shot_text_newprovider_2026-05-15_r1,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r1/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r1.quality.json,results/preds/llm/few_shot_text_newprovider_2026-05-15_r1/validated.spans.jsonl,phase6-v1,0.0,0.0,0.020789288231148697,0.00035236081747709656,0.1719520789288231,0.0013100436681222707,0.1518324607329843,0.0041711725629538085,191,2838,2287
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.quality.json,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/validated.spans.jsonl,phase6-v1,0.0,0.0,0.020131898646303367,0.0003471017007983339,0.16209649427282194,0.0004246284501061571,0.18324607329842932,0.004653947165147536,191,2881,2354
llm,few_shot_text_newprovider_2026-05-15_r3_o_mentions,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r3_o_mentions/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r3_o_mentions.quality.json,results/preds/llm/few_shot_text_newprovider_2026-05-15_r3_o_mentions/validated.spans.jsonl,phase6-v1,0.0,0.0,0.021637426900584796,0.0005847953216374269,0.15263157894736842,0.0,0.05263157894736842,0.0014869457747566817,191,1710,1411
llm,few_shot_text_bestof_split_v1_dev20,test,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20.quality.json,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/validated.spans.jsonl,phase6-v1,0.0,0.0,0.004962779156327543,0.0,0.22084367245657568,0.0,0.5,0.0010427931407384521,20,403,312
llm,few_shot_text_bestof_split_v1_dev20,test_dev20,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20.dev20.quality.json,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/validated.dev20.spans.jsonl,phase6-v1,0.0,0.0,0.004962779156327543,0.0,0.22084367245657568,0.0,0.5,0.010074626865671642,20,403,312
llm,i_single_real_test191_2026-05-16_r1,test,results/preds/llm/i_single_real_test191_2026-05-16_r1/raw.jsonl,results/metrics/i_single_real_test191_2026-05-16_r1.quality.json,results/preds/llm/i_single_real_test191_2026-05-16_r1/validated.spans.jsonl,phase6-v1,0.0,0.0,0.017937219730941704,0.0,0.23019431988041852,0.0,0.0,0.0,191,669,503
llm,smoke_i_single_real_2026-05-16_rep_v2,smoke_one,results/preds/llm/smoke_i_single_real_2026-05-16_rep_v2/raw.jsonl,results/metrics/smoke_i_single_real_2026-05-16_rep_v2.quality.json,results/preds/llm/smoke_i_single_real_2026-05-16_rep_v2/validated.spans.jsonl,phase6-v1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2
llm,i_label_prompt_robustness_round1_A1_fewshot_only,test,results/preds/llm/i_label_prompt_robustness_round1_A1_fewshot_only/raw.jsonl,results/metrics/i_label_prompt_robustness_round1_A1_fewshot_only.quality.json,results/preds/llm/i_label_prompt_robustness_round1_A1_fewshot_only/validated.spans.jsonl,phase6-v1,0.0,0.0,0.011876484560570071,0.004750593824228029,0.22802850356294538,0.0,0.0,0.0,191,421,318
llm,i_label_prompt_robustness_round1_A2_rep_only,test,results/preds/llm/i_label_prompt_robustness_round1_A2_rep_only/raw.jsonl,results/metrics/i_label_prompt_robustness_round1_A2_rep_only.quality.json,results/preds/llm/i_label_prompt_robustness_round1_A2_rep_only/validated.spans.jsonl,phase6-v1,0.0,0.0,0.015655577299412915,0.0,0.19569471624266144,0.0,0.0,0.0,191,511,403
llm,i_label_prompt_robustness_round1_A3_fewshot_plus_rep,test,results/preds/llm/i_label_prompt_robustness_round1_A3_fewshot_plus_rep/raw.jsonl,results/metrics/i_label_prompt_robustness_round1_A3_fewshot_plus_rep.quality.json,results/preds/llm/i_label_prompt_robustness_round1_A3_fewshot_plus_rep/validated.spans.jsonl,phase6-v1,0.0,0.0,0.026829268292682926,0.007317073170731708,0.24146341463414633,0.0,0.0,0.0,191,410,297
