method,setting,split,raw_path,valid_path,quality_path,validator_version,metric_name,metric_value
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/raw.jsonl,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.quality.json,question-slot-validator-v1,invalid_json_rate,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/raw.jsonl,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.quality.json,question-slot-validator-v1,schema_invalid_rate,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/raw.jsonl,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.quality.json,question-slot-validator-v1,non_list_slot_rate,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/raw.jsonl,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.quality.json,question-slot-validator-v1,non_string_item_rate,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/raw.jsonl,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.quality.json,question-slot-validator-v1,duplicate_value_rate,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/raw.jsonl,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.quality.json,question-slot-validator-v1,empty_value_rate,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/raw.jsonl,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.quality.json,question-slot-validator-v1,raw_rows,59
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/raw.jsonl,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.quality.json,question-slot-validator-v1,response_items,304
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/raw.jsonl,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.quality.json,question-slot-validator-v1,written_values,304
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/raw.jsonl,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.quality.json,question-slot-validator-v1,invalid_json_rate,0.0
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/raw.jsonl,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.quality.json,question-slot-validator-v1,schema_invalid_rate,0.0
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/raw.jsonl,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.quality.json,question-slot-validator-v1,non_list_slot_rate,0.0
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/raw.jsonl,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.quality.json,question-slot-validator-v1,non_string_item_rate,0.0
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/raw.jsonl,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.quality.json,question-slot-validator-v1,duplicate_value_rate,0.0
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/raw.jsonl,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.quality.json,question-slot-validator-v1,empty_value_rate,0.0
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/raw.jsonl,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.quality.json,question-slot-validator-v1,raw_rows,20
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/raw.jsonl,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.quality.json,question-slot-validator-v1,response_items,47
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/raw.jsonl,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.quality.json,question-slot-validator-v1,written_values,47
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/raw.jsonl,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.quality.json,question-slot-validator-v1,invalid_json_rate,0.0
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/raw.jsonl,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.quality.json,question-slot-validator-v1,schema_invalid_rate,0.0
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/raw.jsonl,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.quality.json,question-slot-validator-v1,non_list_slot_rate,0.0
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/raw.jsonl,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.quality.json,question-slot-validator-v1,non_string_item_rate,0.0
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/raw.jsonl,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.quality.json,question-slot-validator-v1,duplicate_value_rate,0.0
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/raw.jsonl,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.quality.json,question-slot-validator-v1,empty_value_rate,0.0
