method,setting,split,raw_path,metric_path,metric_name,label,docs_with_gold,complete_docs,complete_rate
openai_llm,zero_shot_limit2,test,results/preds/llm/openai_zero_shot/raw.jsonl,results/metrics/openai_zero_shot.text_metrics.json,pio_complete_document_rate,PIO,191,0,0.0
openai_llm,zero_shot_limit2,test,results/preds/llm/openai_zero_shot/raw.jsonl,results/metrics/openai_zero_shot.text_metrics.json,label_complete_document_rate,P,189,0,0.0
openai_llm,zero_shot_limit2,test,results/preds/llm/openai_zero_shot/raw.jsonl,results/metrics/openai_zero_shot.text_metrics.json,label_complete_document_rate,I,188,0,0.0
openai_llm,zero_shot_limit2,test,results/preds/llm/openai_zero_shot/raw.jsonl,results/metrics/openai_zero_shot.text_metrics.json,label_complete_document_rate,O,190,0,0.0
openai_llm,zero_shot_text,test,results/preds/llm/openai_zero_shot_text/raw.jsonl,results/metrics/openai_zero_shot_text.text_metrics.json,pio_complete_document_rate,PIO,191,0,0.0
openai_llm,zero_shot_text,test,results/preds/llm/openai_zero_shot_text/raw.jsonl,results/metrics/openai_zero_shot_text.text_metrics.json,label_complete_document_rate,P,189,9,0.047619047619047616
openai_llm,zero_shot_text,test,results/preds/llm/openai_zero_shot_text/raw.jsonl,results/metrics/openai_zero_shot_text.text_metrics.json,label_complete_document_rate,I,188,2,0.010638297872340425
openai_llm,zero_shot_text,test,results/preds/llm/openai_zero_shot_text/raw.jsonl,results/metrics/openai_zero_shot_text.text_metrics.json,label_complete_document_rate,O,190,0,0.0
openai_llm,few_shot_text,test,results/preds/llm/openai_few_shot_text/raw.jsonl,results/metrics/openai_few_shot_text.text_metrics.json,pio_complete_document_rate,PIO,191,0,0.0
openai_llm,few_shot_text,test,results/preds/llm/openai_few_shot_text/raw.jsonl,results/metrics/openai_few_shot_text.text_metrics.json,label_complete_document_rate,P,189,19,0.10052910052910052
openai_llm,few_shot_text,test,results/preds/llm/openai_few_shot_text/raw.jsonl,results/metrics/openai_few_shot_text.text_metrics.json,label_complete_document_rate,I,188,8,0.0425531914893617
openai_llm,few_shot_text,test,results/preds/llm/openai_few_shot_text/raw.jsonl,results/metrics/openai_few_shot_text.text_metrics.json,label_complete_document_rate,O,190,0,0.0
openai_llm,zero_shot_text_v2,test,results/preds/llm/openai_zero_shot_text_v2/raw.jsonl,results/metrics/openai_zero_shot_text_v2.text_metrics.json,pio_complete_document_rate,PIO,191,0,0.0
openai_llm,zero_shot_text_v2,test,results/preds/llm/openai_zero_shot_text_v2/raw.jsonl,results/metrics/openai_zero_shot_text_v2.text_metrics.json,label_complete_document_rate,P,189,9,0.047619047619047616
openai_llm,zero_shot_text_v2,test,results/preds/llm/openai_zero_shot_text_v2/raw.jsonl,results/metrics/openai_zero_shot_text_v2.text_metrics.json,label_complete_document_rate,I,188,3,0.015957446808510637
openai_llm,zero_shot_text_v2,test,results/preds/llm/openai_zero_shot_text_v2/raw.jsonl,results/metrics/openai_zero_shot_text_v2.text_metrics.json,label_complete_document_rate,O,190,0,0.0
openai_llm,few_shot_text_v2,test,results/preds/llm/openai_few_shot_text_v2/raw.jsonl,results/metrics/openai_few_shot_text_v2.text_metrics.json,pio_complete_document_rate,PIO,191,0,0.0
openai_llm,few_shot_text_v2,test,results/preds/llm/openai_few_shot_text_v2/raw.jsonl,results/metrics/openai_few_shot_text_v2.text_metrics.json,label_complete_document_rate,P,189,11,0.0582010582010582
openai_llm,few_shot_text_v2,test,results/preds/llm/openai_few_shot_text_v2/raw.jsonl,results/metrics/openai_few_shot_text_v2.text_metrics.json,label_complete_document_rate,I,188,6,0.031914893617021274
openai_llm,few_shot_text_v2,test,results/preds/llm/openai_few_shot_text_v2/raw.jsonl,results/metrics/openai_few_shot_text_v2.text_metrics.json,label_complete_document_rate,O,190,0,0.0
openai_llm,few_shot_text_v3,test,results/preds/llm/openai_few_shot_text_v3/raw.jsonl,results/metrics/openai_few_shot_text_v3.text_metrics.json,pio_complete_document_rate,PIO,191,0,0.0
openai_llm,few_shot_text_v3,test,results/preds/llm/openai_few_shot_text_v3/raw.jsonl,results/metrics/openai_few_shot_text_v3.text_metrics.json,label_complete_document_rate,P,189,11,0.0582010582010582
openai_llm,few_shot_text_v3,test,results/preds/llm/openai_few_shot_text_v3/raw.jsonl,results/metrics/openai_few_shot_text_v3.text_metrics.json,label_complete_document_rate,I,188,7,0.03723404255319149
openai_llm,few_shot_text_v3,test,results/preds/llm/openai_few_shot_text_v3/raw.jsonl,results/metrics/openai_few_shot_text_v3.text_metrics.json,label_complete_document_rate,O,190,0,0.0
openai_llm,few_shot_text_v3_i_only,test,results/preds/llm/openai_few_shot_text_v3_i_only/raw.jsonl,results/metrics/openai_few_shot_text_v3_i_only.text_metrics.json,pio_complete_document_rate,PIO,191,0,0.0
openai_llm,few_shot_text_v3_i_only,test,results/preds/llm/openai_few_shot_text_v3_i_only/raw.jsonl,results/metrics/openai_few_shot_text_v3_i_only.text_metrics.json,label_complete_document_rate,P,189,12,0.06349206349206349
openai_llm,few_shot_text_v3_i_only,test,results/preds/llm/openai_few_shot_text_v3_i_only/raw.jsonl,results/metrics/openai_few_shot_text_v3_i_only.text_metrics.json,label_complete_document_rate,I,188,9,0.047872340425531915
openai_llm,few_shot_text_v3_i_only,test,results/preds/llm/openai_few_shot_text_v3_i_only/raw.jsonl,results/metrics/openai_few_shot_text_v3_i_only.text_metrics.json,label_complete_document_rate,O,190,0,0.0
openai_llm,few_shot_text_v4,test,results/preds/llm/openai_few_shot_text_v4/raw.jsonl,results/metrics/openai_few_shot_text_v4.text_metrics.json,pio_complete_document_rate,PIO,191,0,0.0
openai_llm,few_shot_text_v4,test,results/preds/llm/openai_few_shot_text_v4/raw.jsonl,results/metrics/openai_few_shot_text_v4.text_metrics.json,label_complete_document_rate,P,189,13,0.06878306878306878
openai_llm,few_shot_text_v4,test,results/preds/llm/openai_few_shot_text_v4/raw.jsonl,results/metrics/openai_few_shot_text_v4.text_metrics.json,label_complete_document_rate,I,188,13,0.06914893617021277
openai_llm,few_shot_text_v4,test,results/preds/llm/openai_few_shot_text_v4/raw.jsonl,results/metrics/openai_few_shot_text_v4.text_metrics.json,label_complete_document_rate,O,190,0,0.0
openai_llm,few_shot_text_v4_i_only,test,results/preds/llm/openai_few_shot_text_v4_i_only/raw.jsonl,results/metrics/openai_few_shot_text_v4_i_only.text_metrics.json,pio_complete_document_rate,PIO,191,0,0.0
openai_llm,few_shot_text_v4_i_only,test,results/preds/llm/openai_few_shot_text_v4_i_only/raw.jsonl,results/metrics/openai_few_shot_text_v4_i_only.text_metrics.json,label_complete_document_rate,P,189,14,0.07407407407407407
openai_llm,few_shot_text_v4_i_only,test,results/preds/llm/openai_few_shot_text_v4_i_only/raw.jsonl,results/metrics/openai_few_shot_text_v4_i_only.text_metrics.json,label_complete_document_rate,I,188,12,0.06382978723404255
openai_llm,few_shot_text_v4_i_only,test,results/preds/llm/openai_few_shot_text_v4_i_only/raw.jsonl,results/metrics/openai_few_shot_text_v4_i_only.text_metrics.json,label_complete_document_rate,O,190,0,0.0
openai_llm,few_shot_text_newprovider_2026-05-15_r1,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r1/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r1.text_metrics.json,pio_complete_document_rate,PIO,191,0,0.0
openai_llm,few_shot_text_newprovider_2026-05-15_r1,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r1/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r1.text_metrics.json,label_complete_document_rate,P,189,14,0.07407407407407407
openai_llm,few_shot_text_newprovider_2026-05-15_r1,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r1/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r1.text_metrics.json,label_complete_document_rate,I,188,11,0.05851063829787234
openai_llm,few_shot_text_newprovider_2026-05-15_r1,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r1/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r1.text_metrics.json,label_complete_document_rate,O,190,0,0.0
llm,few_shot_text_newprovider_2026-05-15_r3_o_mentions,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r3_o_mentions/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r3_o_mentions.text_metrics.json,pio_complete_document_rate,PIO,191,0,0.0
llm,few_shot_text_newprovider_2026-05-15_r3_o_mentions,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r3_o_mentions/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r3_o_mentions.text_metrics.json,label_complete_document_rate,P,189,7,0.037037037037037035
llm,few_shot_text_newprovider_2026-05-15_r3_o_mentions,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r3_o_mentions/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r3_o_mentions.text_metrics.json,label_complete_document_rate,I,188,5,0.026595744680851064
llm,few_shot_text_newprovider_2026-05-15_r3_o_mentions,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r3_o_mentions/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r3_o_mentions.text_metrics.json,label_complete_document_rate,O,190,0,0.0
llm,few_shot_text_bestof_split_v1_dev20,test,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20.text_metrics.json,pio_complete_document_rate,PIO,191,0,0.0
llm,few_shot_text_bestof_split_v1_dev20,test,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20.text_metrics.json,label_complete_document_rate,P,189,0,0.0
llm,few_shot_text_bestof_split_v1_dev20,test,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20.text_metrics.json,label_complete_document_rate,I,188,1,0.005319148936170213
llm,few_shot_text_bestof_split_v1_dev20,test,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20.text_metrics.json,label_complete_document_rate,O,190,0,0.0
llm,few_shot_text_bestof_split_v1_dev20,test_dev20,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20.dev20.text_metrics.json,pio_complete_document_rate,PIO,20,0,0.0
llm,few_shot_text_bestof_split_v1_dev20,test_dev20,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20.dev20.text_metrics.json,label_complete_document_rate,P,20,0,0.0
llm,few_shot_text_bestof_split_v1_dev20,test_dev20,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20.dev20.text_metrics.json,label_complete_document_rate,I,19,1,0.05263157894736842
llm,few_shot_text_bestof_split_v1_dev20,test_dev20,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/raw.jsonl,results/metrics/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20.dev20.text_metrics.json,label_complete_document_rate,O,20,0,0.0
llm,i_single_real_test191_2026-05-16_r1,test,results/preds/llm/i_single_real_test191_2026-05-16_r1/raw.jsonl,results/metrics/i_single_real_test191_2026-05-16_r1.text_metrics.json,pio_complete_document_rate,PIO,191,0,0.0
llm,i_single_real_test191_2026-05-16_r1,test,results/preds/llm/i_single_real_test191_2026-05-16_r1/raw.jsonl,results/metrics/i_single_real_test191_2026-05-16_r1.text_metrics.json,label_complete_document_rate,P,189,0,0.0
llm,i_single_real_test191_2026-05-16_r1,test,results/preds/llm/i_single_real_test191_2026-05-16_r1/raw.jsonl,results/metrics/i_single_real_test191_2026-05-16_r1.text_metrics.json,label_complete_document_rate,I,188,4,0.02127659574468085
llm,i_single_real_test191_2026-05-16_r1,test,results/preds/llm/i_single_real_test191_2026-05-16_r1/raw.jsonl,results/metrics/i_single_real_test191_2026-05-16_r1.text_metrics.json,label_complete_document_rate,O,190,0,0.0
llm,smoke_i_single_real_2026-05-16_rep_v2,smoke_one,results/preds/llm/smoke_i_single_real_2026-05-16_rep_v2/raw.jsonl,results/metrics/smoke_i_single_real_2026-05-16_rep_v2.metrics.json,pio_complete_document_rate,PIO,191,0,0.0
llm,smoke_i_single_real_2026-05-16_rep_v2,smoke_one,results/preds/llm/smoke_i_single_real_2026-05-16_rep_v2/raw.jsonl,results/metrics/smoke_i_single_real_2026-05-16_rep_v2.metrics.json,label_complete_document_rate,P,189,0,0.0
llm,smoke_i_single_real_2026-05-16_rep_v2,smoke_one,results/preds/llm/smoke_i_single_real_2026-05-16_rep_v2/raw.jsonl,results/metrics/smoke_i_single_real_2026-05-16_rep_v2.metrics.json,label_complete_document_rate,I,188,0,0.0
llm,smoke_i_single_real_2026-05-16_rep_v2,smoke_one,results/preds/llm/smoke_i_single_real_2026-05-16_rep_v2/raw.jsonl,results/metrics/smoke_i_single_real_2026-05-16_rep_v2.metrics.json,label_complete_document_rate,O,190,0,0.0
llm,i_label_prompt_robustness_round1_A1_fewshot_only,test,results/preds/llm/i_label_prompt_robustness_round1_A1_fewshot_only/raw.jsonl,results/metrics/i_label_prompt_robustness_round1_A1_fewshot_only.text_metrics.json,pio_complete_document_rate,PIO,191,0,0.0
llm,i_label_prompt_robustness_round1_A1_fewshot_only,test,results/preds/llm/i_label_prompt_robustness_round1_A1_fewshot_only/raw.jsonl,results/metrics/i_label_prompt_robustness_round1_A1_fewshot_only.text_metrics.json,label_complete_document_rate,P,189,0,0.0
llm,i_label_prompt_robustness_round1_A1_fewshot_only,test,results/preds/llm/i_label_prompt_robustness_round1_A1_fewshot_only/raw.jsonl,results/metrics/i_label_prompt_robustness_round1_A1_fewshot_only.text_metrics.json,label_complete_document_rate,I,188,2,0.010638297872340425
llm,i_label_prompt_robustness_round1_A1_fewshot_only,test,results/preds/llm/i_label_prompt_robustness_round1_A1_fewshot_only/raw.jsonl,results/metrics/i_label_prompt_robustness_round1_A1_fewshot_only.text_metrics.json,label_complete_document_rate,O,190,0,0.0
llm,i_label_prompt_robustness_round1_A2_rep_only,test,results/preds/llm/i_label_prompt_robustness_round1_A2_rep_only/raw.jsonl,results/metrics/i_label_prompt_robustness_round1_A2_rep_only.text_metrics.json,pio_complete_document_rate,PIO,191,0,0.0
llm,i_label_prompt_robustness_round1_A2_rep_only,test,results/preds/llm/i_label_prompt_robustness_round1_A2_rep_only/raw.jsonl,results/metrics/i_label_prompt_robustness_round1_A2_rep_only.text_metrics.json,label_complete_document_rate,P,189,0,0.0
llm,i_label_prompt_robustness_round1_A2_rep_only,test,results/preds/llm/i_label_prompt_robustness_round1_A2_rep_only/raw.jsonl,results/metrics/i_label_prompt_robustness_round1_A2_rep_only.text_metrics.json,label_complete_document_rate,I,188,2,0.010638297872340425
llm,i_label_prompt_robustness_round1_A2_rep_only,test,results/preds/llm/i_label_prompt_robustness_round1_A2_rep_only/raw.jsonl,results/metrics/i_label_prompt_robustness_round1_A2_rep_only.text_metrics.json,label_complete_document_rate,O,190,0,0.0
llm,i_label_prompt_robustness_round1_A3_fewshot_plus_rep,test,results/preds/llm/i_label_prompt_robustness_round1_A3_fewshot_plus_rep/raw.jsonl,results/metrics/i_label_prompt_robustness_round1_A3_fewshot_plus_rep.text_metrics.json,pio_complete_document_rate,PIO,191,0,0.0
llm,i_label_prompt_robustness_round1_A3_fewshot_plus_rep,test,results/preds/llm/i_label_prompt_robustness_round1_A3_fewshot_plus_rep/raw.jsonl,results/metrics/i_label_prompt_robustness_round1_A3_fewshot_plus_rep.text_metrics.json,label_complete_document_rate,P,189,0,0.0
llm,i_label_prompt_robustness_round1_A3_fewshot_plus_rep,test,results/preds/llm/i_label_prompt_robustness_round1_A3_fewshot_plus_rep/raw.jsonl,results/metrics/i_label_prompt_robustness_round1_A3_fewshot_plus_rep.text_metrics.json,label_complete_document_rate,I,188,2,0.010638297872340425
llm,i_label_prompt_robustness_round1_A3_fewshot_plus_rep,test,results/preds/llm/i_label_prompt_robustness_round1_A3_fewshot_plus_rep/raw.jsonl,results/metrics/i_label_prompt_robustness_round1_A3_fewshot_plus_rep.text_metrics.json,label_complete_document_rate,O,190,0,0.0
