run_id,method,benchmark,split,input_setting,provider,model,prompt_version,examples_path,prediction_path,metric_path,config_path,provider_config_path,started_at,ended_at,sample_count,success_count,error_count,is_real_llm_run
run-test,direct_criteria_aware,csmed_ft,test-small,abstract_only,openai,gpt-test,v0,/tmp/pytest-of-root/pytest-168/test_run_direct_llm_end_to_end0/examples.jsonl,/tmp/pytest-of-root/pytest-168/test_run_direct_llm_end_to_end0/preds/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test-small/direct_criteria_aware/run-test.json,/tmp/pytest-of-root/pytest-168/test_run_direct_llm_end_to_end0/defaults.yaml,/tmp/pytest-of-root/pytest-168/test_run_direct_llm_end_to_end0/providers.yaml,2026-05-16T15:55:06.254221Z,2026-05-16T15:55:06.255784Z,2,1,1,True
run-resume,direct_criteria_aware,csmed_ft,test-small,abstract_only,openai,gpt-test,v0,/tmp/pytest-of-root/pytest-168/test_run_direct_llm_resume_ski0/examples.jsonl,/tmp/pytest-of-root/pytest-168/test_run_direct_llm_resume_ski0/preds/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test-small/direct_criteria_aware/run-resume.json,/tmp/pytest-of-root/pytest-168/test_run_direct_llm_resume_ski0/defaults.yaml,/tmp/pytest-of-root/pytest-168/test_run_direct_llm_resume_ski0/providers.yaml,2026-05-16T15:55:06.292263Z,2026-05-16T15:55:06.292758Z,2,2,0,True
csmed_ft_test_small_abs_smoke_real,direct_criteria_aware,csmed_ft,test-small,abstract_only,openai,gpt-5.2,v0,results/data/csmed_ft/test-small.abstract_only.examples.jsonl,,,code/config/experiment_defaults.yaml,code/config/llm_providers.example.yaml,2026-05-15T06:38:38.548338Z,2026-05-15T06:38:39.848152Z,3,0,3,True
csmed_ft_test_small_abs_siliconflow_smoke_v2,direct_criteria_aware,csmed_ft,test-small,abstract_only,openai-compatible,deepseek-ai/DeepSeek-V4-Flash,v0,results/data/csmed_ft/test-small.abstract_only.examples.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/preds/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_siliconflow_smoke_v2/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_siliconflow_smoke_v2.json,code/config/experiment_defaults.yaml,code/config/llm_providers.local.yaml,2026-05-15T06:49:40.038954Z,2026-05-15T06:52:06.835938Z,3,3,0,True
csmed_ft_test_small_abs_preview10_siliconflow_v1,direct_criteria_aware,csmed_ft,test-small,abstract_only,openai-compatible,deepseek-ai/DeepSeek-V4-Flash,v0,results/data/csmed_ft/test-small.abstract_only.examples.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/preds/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_preview10_siliconflow_v1/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_preview10_siliconflow_v1.json,code/config/experiment_defaults.yaml,code/config/llm_providers.local.yaml,2026-05-15T06:56:28.601598Z,2026-05-15T07:00:41.114946Z,10,8,2,True
csmed_ft_test_small_abs_siliconflow_v1,direct_criteria_aware,csmed_ft,test-small,abstract_only,openai-compatible,deepseek-ai/DeepSeek-V4-Flash,v0,results/data/csmed_ft/test-small.abstract_only.examples.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/preds/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_siliconflow_v1/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_siliconflow_v1.json,code/config/experiment_defaults.yaml,code/config/llm_providers.local.yaml,2026-05-15T07:23:54.110233Z,2026-05-15T07:48:26.189440Z,48,47,1,True
csmed_ft_test_small_abs_v0_preview20,direct_criteria_aware,csmed_ft,test-small,abstract_only,openai-compatible,deepseek-ai/DeepSeek-V4-Flash,v0,results/data/csmed_ft/test-small.abstract_only.examples.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/preds/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_v0_preview20/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_v0_preview20.json,code/config/experiment_defaults.yaml,code/config/llm_providers.local.yaml,2026-05-15T08:52:03.560045Z,2026-05-15T08:56:50.821505Z,20,20,0,True
csmed_ft_test_small_abs_v1_preview20,direct_criteria_aware,csmed_ft,test-small,abstract_only,openai-compatible,deepseek-ai/DeepSeek-V4-Flash,v1,results/data/csmed_ft/test-small.abstract_only.examples.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/preds/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_v1_preview20/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_v1_preview20.json,code/config/experiment_defaults.yaml,code/config/llm_providers.local.yaml,2026-05-15T08:56:52.600480Z,2026-05-15T09:02:30.817606Z,20,20,0,True
csmed_ft_test_small_abs_binary_smoke_v1,direct_criteria_aware,csmed_ft,test-small,abstract_only,openai-compatible,deepseek-ai/DeepSeek-V4-Flash,v1,results/data/csmed_ft/test-small.abstract_only.examples.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/preds/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_binary_smoke_v1/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_binary_smoke_v1.json,code/config/experiment_defaults.yaml,code/config/llm_providers.local.yaml,2026-05-15T10:35:08.495363Z,2026-05-15T10:35:38.711441Z,5,5,0,True
csmed_ft_test_small_abs_binary_preview20_v1,direct_criteria_aware,csmed_ft,test-small,abstract_only,openai-compatible,deepseek-ai/DeepSeek-V4-Flash,v1,results/data/csmed_ft/test-small.abstract_only.examples.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/preds/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_binary_preview20_v1/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_binary_preview20_v1.json,code/config/experiment_defaults.yaml,code/config/llm_providers.local.yaml,2026-05-15T10:44:07.758683Z,2026-05-15T10:49:57.030027Z,20,20,0,True
csmed_ft_test_small_abs_benchmark_aligned_v1,direct_criteria_aware,csmed_ft,test-small,abstract_only,openai-compatible,deepseek-ai/DeepSeek-V4-Flash,v1,results/data/csmed_ft/test-small.abstract_only.examples.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/preds/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_benchmark_aligned_v1/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_benchmark_aligned_v1.json,code/config/experiment_defaults.yaml,code/config/llm_providers.local.yaml,2026-05-15T11:09:21.593727Z,2026-05-15T11:23:09.331779Z,48,48,0,True
csmed_ft_test_small_abs_benchmark_aligned_gpt54mini_v1,direct_criteria_aware,csmed_ft,test-small,abstract_only,openai-compatible,gpt-5.4-mini,v1,results/data/csmed_ft/test-small.abstract_only.examples.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/preds/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_benchmark_aligned_gpt54mini_v1/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_benchmark_aligned_gpt54mini_v1.json,code/config/experiment_defaults.yaml,code/config/llm_providers.local.yaml,2026-05-15T11:43:56.868341Z,2026-05-15T11:46:11.014971Z,48,48,0,True
csmed_ft_test_small_abs_benchmark_aligned_gpt51_v2,direct_criteria_aware,csmed_ft,test-small,abstract_only,openai-compatible,gpt-5.1,v2,results/data/csmed_ft/test-small.abstract_only.examples.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/preds/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_benchmark_aligned_gpt51_v2/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_benchmark_aligned_gpt51_v2.json,code/config/experiment_defaults.yaml,code/config/llm_providers.local.yaml,2026-05-15T12:02:41.800858Z,2026-05-15T12:11:37.266999Z,48,4,44,True
csmed_ft_test_small_abs_benchmark_aligned_gpt52_v2,direct_criteria_aware,csmed_ft,test-small,abstract_only,openai-compatible,gpt-5.2,v2,results/data/csmed_ft/test-small.abstract_only.examples.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/preds/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_benchmark_aligned_gpt52_v2/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_benchmark_aligned_gpt52_v2.json,code/config/experiment_defaults.yaml,code/config/llm_providers.local.yaml,2026-05-15T12:11:20.253980Z,2026-05-15T12:16:31.814736Z,48,48,0,True
csmed_ft_test_abs_benchmark_aligned_gpt52_v2_smoke20,direct_criteria_aware,csmed_ft,test,abstract_only,openai-compatible,gpt-5.2,v2,results/data/csmed_ft/test.abstract_only.examples.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/preds/csmed_ft/test/direct_criteria_aware/csmed_ft_test_abs_benchmark_aligned_gpt52_v2_smoke20/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test/direct_criteria_aware/csmed_ft_test_abs_benchmark_aligned_gpt52_v2_smoke20.json,code/config/experiment_defaults.yaml,code/config/llm_providers.local.yaml,2026-05-15T15:32:08.792820Z,2026-05-15T15:33:07.402988Z,20,20,0,True
csmed_ft_test_abs_benchmark_aligned_gpt52_v2_full,direct_criteria_aware,csmed_ft,test,abstract_only,openai-compatible,gpt-5.2,v2,results/data/csmed_ft/test.abstract_only.examples.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/preds/csmed_ft/test/direct_criteria_aware/csmed_ft_test_abs_benchmark_aligned_gpt52_v2_full/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test/direct_criteria_aware/csmed_ft_test_abs_benchmark_aligned_gpt52_v2_full.json,code/config/experiment_defaults.yaml,code/config/llm_providers.local.yaml,2026-05-15T15:36:59.400781Z,2026-05-15T16:31:43.495380Z,627,626,1,True
run-v3,direct_criteria_aware,csmed_ft,test-small,abstract_only,openai,gpt-test,v3,/tmp/pytest-of-root/pytest-168/test_run_direct_llm_abstract_v0/examples-v3.jsonl,/tmp/pytest-of-root/pytest-168/test_run_direct_llm_abstract_v0/preds-v3/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test-small/direct_criteria_aware/run-v3.json,/tmp/pytest-of-root/pytest-168/test_run_direct_llm_abstract_v0/defaults.yaml,/tmp/pytest-of-root/pytest-168/test_run_direct_llm_abstract_v0/providers.yaml,2026-05-16T15:55:06.268781Z,2026-05-16T15:55:06.269539Z,1,1,0,True
run-full-text,direct_criteria_aware,csmed_ft,test-small,full_text_only,openai,gpt-test,v0,/tmp/pytest-of-root/pytest-168/test_run_direct_llm_full_text_0/examples-full-text.jsonl,/tmp/pytest-of-root/pytest-168/test_run_direct_llm_full_text_0/preds-full-text/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test-small/direct_criteria_aware/run-full-text.json,/tmp/pytest-of-root/pytest-168/test_run_direct_llm_full_text_0/defaults.yaml,/tmp/pytest-of-root/pytest-168/test_run_direct_llm_full_text_0/providers.yaml,2026-05-16T15:55:06.280599Z,2026-05-16T15:55:06.281230Z,1,1,0,True
csmed_ft_test_small_abs_v3_smoke20,direct_criteria_aware,csmed_ft,test-small,abstract_only,openai-compatible,gpt-5.2,v3,results/data/csmed_ft/test-small.abstract_only.examples.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/preds/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_v3_smoke20/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test-small/direct_criteria_aware/csmed_ft_test_small_abs_v3_smoke20.json,code/config/experiment_defaults.yaml,code/config/llm_providers.local.yaml,2026-05-16T06:27:26.598820Z,2026-05-16T06:27:41.762725Z,20,20,0,True
csmed_ft_test_abs_v3_full,direct_criteria_aware,csmed_ft,test,abstract_only,openai-compatible,gpt-5.2,v3,results/data/csmed_ft/test.abstract_only.examples.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/preds/csmed_ft/test/direct_criteria_aware/csmed_ft_test_abs_v3_full/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test/direct_criteria_aware/csmed_ft_test_abs_v3_full.json,code/config/experiment_defaults.yaml,code/config/llm_providers.local.yaml,2026-05-16T06:32:19.158427Z,2026-05-16T06:36:53.432367Z,627,627,0,True
csmed_ft_test_abs_v3_full_rerun_20260516,direct_criteria_aware,csmed_ft,test,abstract_only,openai-compatible,gpt-5.2,v3,results/data/csmed_ft/test.abstract_only.examples.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/preds/csmed_ft/test/direct_criteria_aware/csmed_ft_test_abs_v3_full_rerun_20260516/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test/direct_criteria_aware/csmed_ft_test_abs_v3_full_rerun_20260516.json,code/config/experiment_defaults.yaml,code/config/llm_providers.local.yaml,2026-05-16T07:00:50.355971Z,2026-05-16T07:06:06.325439Z,627,621,6,True
criterion-run,criterion_wise_evidence_grounded,csmed_ft,test-small,full_text_only,openai,gpt-test,v3,/tmp/pytest-of-root/pytest-168/test_run_criterion_wise_end_to0/examples.jsonl,/tmp/pytest-of-root/pytest-168/test_run_criterion_wise_end_to0/preds/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test-small/criterion_wise_evidence_grounded/criterion-run.json,/tmp/pytest-of-root/pytest-168/test_run_criterion_wise_end_to0/defaults.yaml,/tmp/pytest-of-root/pytest-168/test_run_criterion_wise_end_to0/providers.yaml,2026-05-16T15:55:05.474921Z,2026-05-16T15:55:05.476699Z,2,1,1,True
criterion-resume,criterion_wise_evidence_grounded,csmed_ft,test-small,full_text_only,openai,gpt-test,v3,/tmp/pytest-of-root/pytest-168/test_run_criterion_wise_resume0/examples.jsonl,/tmp/pytest-of-root/pytest-168/test_run_criterion_wise_resume0/preds/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test-small/criterion_wise_evidence_grounded/criterion-resume.json,/tmp/pytest-of-root/pytest-168/test_run_criterion_wise_resume0/defaults.yaml,/tmp/pytest-of-root/pytest-168/test_run_criterion_wise_resume0/providers.yaml,2026-05-16T15:55:05.506818Z,2026-05-16T15:55:05.506857Z,1,1,0,True
csmed_ft_test_small_fulltext_criterion_v1_20260516,criterion_wise_evidence_grounded,csmed_ft,test-small,full_text_only,openai-compatible,gpt-5.2,v1,results/data/csmed_ft/test-small.full_text_only.examples.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/preds/csmed_ft/test-small/criterion_wise_evidence_grounded/csmed_ft_test_small_fulltext_criterion_v1_20260516/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test-small/criterion_wise_evidence_grounded/csmed_ft_test_small_fulltext_criterion_v1_20260516.json,code/config/experiment_defaults.yaml,code/config/llm_providers.local.yaml,2026-05-16T07:53:09.864777Z,2026-05-16T07:56:11.955910Z,47,47,0,True
