method,setting,split,raw_path,judge_path,summary_path,judge_evaluator_version,judge_prompt_version,label,dimension,value,count,rate
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,P,completeness,complete,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,P,completeness,partial,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,P,completeness,missing,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,P,accuracy,accurate,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,P,accuracy,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,P,accuracy,incorrect,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,P,noise,low,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,P,noise,medium,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,P,noise,high,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,P,granularity,appropriate,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,P,granularity,too_broad,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,P,granularity,too_narrow,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,P,granularity,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,P,overall_verdict,strong,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,P,overall_verdict,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,P,overall_verdict,weak,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,I,completeness,complete,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,I,completeness,partial,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,I,completeness,missing,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,I,accuracy,accurate,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,I,accuracy,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,I,accuracy,incorrect,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,I,noise,low,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,I,noise,medium,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,I,noise,high,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,I,granularity,appropriate,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,I,granularity,too_broad,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,I,granularity,too_narrow,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,I,granularity,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,I,overall_verdict,strong,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,I,overall_verdict,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,I,overall_verdict,weak,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,O,completeness,complete,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,O,completeness,partial,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,O,completeness,missing,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,O,accuracy,accurate,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,O,accuracy,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,O,accuracy,incorrect,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,O,noise,low,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,O,noise,medium,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,O,noise,high,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,O,granularity,appropriate,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,O,granularity,too_broad,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,O,granularity,too_narrow,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,O,granularity,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,O,overall_verdict,strong,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,O,overall_verdict,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,O,overall_verdict,weak,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,P,completeness,complete,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,P,completeness,partial,0,0.0
