method,setting,split,pred_path,judge_path,summary_path,judge_evaluator_version,judge_prompt_version,label,dimension,value,count,rate
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,completeness,complete,57,0.9661016949152542
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,completeness,partial,2,0.03389830508474576
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,completeness,missing,0,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,accuracy,accurate,59,1.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,accuracy,mixed,0,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,accuracy,incorrect,0,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,noise,low,59,1.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,noise,medium,0,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,noise,high,0,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,granularity,appropriate,59,1.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,granularity,too_broad,0,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,granularity,too_narrow,0,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,granularity,mixed,0,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,overall_verdict,strong,57,0.9661016949152542
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,overall_verdict,mixed,2,0.03389830508474576
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,overall_verdict,weak,0,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,I,completeness,complete,36,0.6101694915254238
