method,setting,split,pred_path,metric_path,metric_name,precision,recall,f1,tp,fp,fn
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.slot_metrics.json,slot_exact_micro_f1,0.19078947368421054,0.1895424836601307,0.19016393442622953,58,246,248
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.slot_metrics.json,slot_normalized_micro_f1,0.2138157894736842,0.21241830065359477,0.21311475409836064,65,239,241
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.slot_metrics.json,slot_exact_P_f1,0.3389830508474576,0.3389830508474576,0.3389830508474576,20,39,39
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.slot_metrics.json,slot_exact_I_f1,0.20161290322580644,0.423728813559322,0.27322404371584696,25,99,34
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.slot_metrics.json,slot_exact_C_f1,0.16883116883116883,0.08441558441558442,0.11255411255411255,13,64,141
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.slot_metrics.json,slot_exact_O_f1,0.0,0.0,0.0,0,44,34
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.slot_metrics.json,slot_normalized_P_f1,0.3728813559322034,0.3728813559322034,0.3728813559322034,22,37,37
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.slot_metrics.json,slot_normalized_I_f1,0.24193548387096775,0.5084745762711864,0.32786885245901637,30,94,29
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.slot_metrics.json,slot_normalized_C_f1,0.16883116883116883,0.08441558441558442,0.11255411255411255,13,64,141
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.slot_metrics.json,slot_normalized_O_f1,0.0,0.0,0.0,0,44,34
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.slot_metrics.json,slot_exact_micro_f1,0.2553191489361702,0.3,0.2758620689655172,12,35,28
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_micro_f1,0.2765957446808511,0.325,0.2988505747126437,13,34,27
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.slot_metrics.json,slot_exact_P_f1,0.3,0.3,0.3,6,14,14
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.slot_metrics.json,slot_exact_I_f1,0.2222222222222222,0.3,0.25531914893617025,6,21,14
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_P_f1,0.3,0.3,0.3,6,14,14
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_I_f1,0.25925925925925924,0.35,0.29787234042553196,7,20,13
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.slot_metrics.json,slot_exact_micro_f1,0.3181818181818182,0.35,0.3333333333333333,14,30,26
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_micro_f1,0.3181818181818182,0.35,0.3333333333333333,14,30,26
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.slot_metrics.json,slot_exact_P_f1,0.4,0.4,0.4000000000000001,8,12,12
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.slot_metrics.json,slot_exact_I_f1,0.25,0.3,0.2727272727272727,6,18,14
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_P_f1,0.4,0.4,0.4000000000000001,8,12,12
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_I_f1,0.25,0.3,0.2727272727272727,6,18,14
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.slot_metrics.json,slot_exact_micro_f1,0.2857142857142857,0.3,0.2926829268292683,12,30,28
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_micro_f1,0.30952380952380953,0.325,0.3170731707317073,13,29,27
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.slot_metrics.json,slot_exact_P_f1,0.35,0.35,0.35,7,13,13
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.slot_metrics.json,slot_exact_I_f1,0.22727272727272727,0.25,0.23809523809523808,5,17,15
