pmid,study_id,gt_record_idx,model,slot_id,domain,gt_domain_str,gt,pred,match
14647140,Clayton 2007,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Not high,Not high,1
14647140,Clayton 2007,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Not high,Not high,1
14647140,Clayton 2007,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias),Not high,High risk,0
14647140,Clayton 2007,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias),Not high,High risk,0
14647140,Clayton 2007,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias),Not high,High risk,0
15249261,Ross 2004,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Not high,Not high,1
15249261,Ross 2004,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Not high,Not high,1
15249261,Ross 2004,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias),High risk,High risk,1
15249261,Ross 2004,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias),High risk,High risk,1
15249261,Ross 2004,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias),High risk,High risk,1
17389922,Cobo 2007,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation,Not high,Not high,1
17389922,Cobo 2007,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment,Not high,Not high,1
17389922,Cobo 2007,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel: All outcomes,Not high,High risk,0
17389922,Cobo 2007,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessors: All outcomes,Not high,Not high,1
17389922,Cobo 2007,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data: All outcomes,Not high,High risk,0
18398460,Menéndez 2008,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Not high,Not high,1
18398460,Menéndez 2008,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Not high,Not high,1
18398460,Menéndez 2008,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias): All outcomes,Not high,Not high,1
18398460,Menéndez 2008,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias): All outcomes,Not high,Not high,1
18398460,Menéndez 2008,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias): All outcomes,Not high,High risk,0
18779465,Grant 2008,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Not high,Not high,1
18779465,Grant 2008,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Not high,Not high,1
18779465,Grant 2008,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias),Not high,Not high,1
18779465,Grant 2008,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias),Not high,Not high,1
18779465,Grant 2008,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias),Not high,Not high,1
19017773,Ralston 2009,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Not high,Not high,1
19017773,Ralston 2009,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Not high,Not high,1
19017773,Ralston 2009,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias),High risk,High risk,1
19017773,Ralston 2009,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias),High risk,Not high,0
19017773,Ralston 2009,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias),Not high,High risk,0
19209172,Vodermaier 2009,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Not high,Not high,1
19209172,Vodermaier 2009,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Not high,Not high,1
19209172,Vodermaier 2009,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias),Not high,High risk,0
19209172,Vodermaier 2009,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias),Not high,High risk,0
19209172,Vodermaier 2009,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias),Not high,High risk,0
19291323,Middleton 2011,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Not high,Not high,1
19291323,Middleton 2011,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Not high,Not high,1
19291323,Middleton 2011,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias): All outcomes,High risk,High risk,1
19291323,Middleton 2011,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias): All outcomes,Not high,Not high,1
19291323,Middleton 2011,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias): All outcomes,Not high,Not high,1
19319218,Chien 2008a,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Not high,Not high,1
19319218,Chien 2008a,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Not high,Not high,1
19319218,Chien 2008a,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias): All outcomes,High risk,High risk,1
19319218,Chien 2008a,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding (performance bias and detection bias): All outcomes,Missing,High risk,0
