method,setting,split,metric_name,precision,recall,f1,tp,fp,fn,prediction_path,metric_path
openai_llm,zero_shot_limit2,test,exact_span_P_f1,0.0,0.0,0.0,0,0,632,results/preds/llm/openai_zero_shot/validated.spans.jsonl,results/metrics/openai_zero_shot.metrics.json
openai_llm,zero_shot_limit2,test,exact_span_I_f1,0.0,0.0,0.0,0,0,1724,results/preds/llm/openai_zero_shot/validated.spans.jsonl,results/metrics/openai_zero_shot.metrics.json
openai_llm,zero_shot_limit2,test,exact_span_O_f1,0.0,0.0,0.0,0,0,1793,results/preds/llm/openai_zero_shot/validated.spans.jsonl,results/metrics/openai_zero_shot.metrics.json
openai_llm,zero_shot_limit2,test,relaxed_span_P_f1,0.0,0.0,0.0,0,0,632,results/preds/llm/openai_zero_shot/validated.spans.jsonl,results/metrics/openai_zero_shot.metrics.json
openai_llm,zero_shot_limit2,test,relaxed_span_I_f1,0.0,0.0,0.0,0,0,1724,results/preds/llm/openai_zero_shot/validated.spans.jsonl,results/metrics/openai_zero_shot.metrics.json
openai_llm,zero_shot_limit2,test,relaxed_span_O_f1,0.0,0.0,0.0,0,0,1793,results/preds/llm/openai_zero_shot/validated.spans.jsonl,results/metrics/openai_zero_shot.metrics.json
openai_llm,zero_shot_limit2,test,overlap_subset_P_f1,0.0,0.0,0.0,0,0,201,results/preds/llm/openai_zero_shot/validated.spans.jsonl,results/metrics/openai_zero_shot.metrics.json
openai_llm,zero_shot_limit2,test,overlap_subset_I_f1,0.0,0.0,0.0,0,0,536,results/preds/llm/openai_zero_shot/validated.spans.jsonl,results/metrics/openai_zero_shot.metrics.json
openai_llm,zero_shot_limit2,test,overlap_subset_O_f1,0.0,0.0,0.0,0,0,585,results/preds/llm/openai_zero_shot/validated.spans.jsonl,results/metrics/openai_zero_shot.metrics.json
openai_llm,zero_shot_limit2,test,blurb_token_P_f1,0.0,0.0,0.0,0,0,4711,results/preds/llm/openai_zero_shot/validated.spans.jsonl,results/metrics/openai_zero_shot.metrics.json
openai_llm,zero_shot_limit2,test,blurb_token_I_f1,0.0,0.0,0.0,0,0,3563,results/preds/llm/openai_zero_shot/validated.spans.jsonl,results/metrics/openai_zero_shot.metrics.json
