method,setting,split,pred_path,judge_path,summary_path,judge_evaluator_version,judge_prompt_version,dimension,value,count,rate
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,completeness,complete,2,0.03389830508474576
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,completeness,partial,57,0.9661016949152542
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,completeness,missing,0,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,accuracy,accurate,4,0.06779661016949153
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,accuracy,mixed,55,0.9322033898305084
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,accuracy,incorrect,0,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,noise,low,13,0.22033898305084745
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,noise,medium,46,0.7796610169491526
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,noise,high,0,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,granularity,appropriate,6,0.1016949152542373
