split,setting,example_count,review_count,include_count,exclude_count,missing_full_text_count,missing_abstract_text_count,avg_title_words,avg_abstract_words,avg_full_text_words
dev,abstract_only,632,36,197,435,0,12,16.709,207.172,4251.1
dev,abstract_plus_full_text,626,36,197,429,11,12,16.3,208.157,4291.845
dev,full_text_only,633,36,200,433,11,0,16.12,205.855,4271.93
test,abstract_only,627,29,274,353,0,9,16.769,215.094,4762.273
test,abstract_plus_full_text,614,29,267,347,16,9,16.824,216.5,4863.103
test,full_text_only,620,29,271,349,16,0,16.661,214.405,4850.897
test-small,abstract_only,48,16,22,26,0,2,17.542,219.75,5014.812
test-small,abstract_plus_full_text,47,16,21,26,3,2,17.532,224.426,5121.511
test-small,full_text_only,47,16,21,26,3,0,17.532,224.426,5121.511
train,abstract_only,2008,148,887,1121,0,45,16.001,209.51,4360.84
train,abstract_plus_full_text,1982,148,880,1102,43,45,16.017,209.636,4418.046
train,full_text_only,2010,148,895,1115,43,0,15.794,206.716,4406.297
