benchmark,source_dataset,source_split,example_id,review_id,pico_idx,study_id,paper_index,normalized_label,has_title,has_abstract,has_abstract_text,has_clinical_question,has_evidence_profile,has_full_text,blocker_status,blocker_reasons
q2crbench,2024 KDIGO CKD,train,q2crbench::kdigo_ckd::a1::38134019,2024 KDIGO CKD::a1,a1,38134019,38134019,exclude,True,True,True,True,True,False,ready,
q2crbench,2024 KDIGO CKD,train,q2crbench::kdigo_ckd::a1::38073123,2024 KDIGO CKD::a1,a1,38073123,38073123,exclude,True,True,True,True,True,False,ready,
q2crbench,2024 KDIGO CKD,train,q2crbench::kdigo_ckd::a1::37936605,2024 KDIGO CKD::a1,a1,37936605,37936605,exclude,True,True,True,True,True,False,ready,
q2crbench,2024 KDIGO CKD,train,q2crbench::kdigo_ckd::a1::37109635,2024 KDIGO CKD::a1,a1,37109635,37109635,exclude,True,True,True,True,True,False,ready,
q2crbench,2024 KDIGO CKD,train,q2crbench::kdigo_ckd::a1::36990887,2024 KDIGO CKD::a1,a1,36990887,36990887,exclude,True,True,True,True,True,False,ready,
q2crbench,2024 KDIGO CKD,train,q2crbench::kdigo_ckd::a1::36978021,2024 KDIGO CKD::a1,a1,36978021,36978021,exclude,True,True,True,True,True,False,ready,
q2crbench,2024 KDIGO CKD,train,q2crbench::kdigo_ckd::a1::36971978,2024 KDIGO CKD::a1,a1,36971978,36971978,exclude,True,True,True,True,True,False,ready,
q2crbench,2024 KDIGO CKD,train,q2crbench::kdigo_ckd::a1::36940125,2024 KDIGO CKD::a1,a1,36940125,36940125,exclude,True,True,True,True,True,False,ready,
q2crbench,2024 KDIGO CKD,train,q2crbench::kdigo_ckd::a1::36938087,2024 KDIGO CKD::a1,a1,36938087,36938087,exclude,True,True,True,True,True,False,ready,
q2crbench,2024 KDIGO CKD,train,q2crbench::kdigo_ckd::a1::36922798,2024 KDIGO CKD::a1,a1,36922798,36922798,exclude,True,True,True,True,True,False,ready,
q2crbench,2024 KDIGO CKD,train,q2crbench::kdigo_ckd::a1::36902621,2024 KDIGO CKD::a1,a1,36902621,36902621,exclude,True,True,True,True,True,False,ready,
q2crbench,2024 KDIGO CKD,train,q2crbench::kdigo_ckd::a1::36871772,2024 KDIGO CKD::a1,a1,36871772,36871772,exclude,True,True,True,True,True,False,ready,
q2crbench,2024 KDIGO CKD,train,q2crbench::kdigo_ckd::a1::36865017,2024 KDIGO CKD::a1,a1,36865017,36865017,exclude,True,True,True,True,True,False,ready,
q2crbench,2024 KDIGO CKD,train,q2crbench::kdigo_ckd::a1::36786975,2024 KDIGO CKD::a1,a1,36786975,36786975,exclude,True,True,True,True,True,False,ready,
q2crbench,2024 KDIGO CKD,train,q2crbench::kdigo_ckd::a1::36763102,2024 KDIGO CKD::a1,a1,36763102,36763102,exclude,True,True,True,True,True,False,ready,
q2crbench,2024 KDIGO CKD,train,q2crbench::kdigo_ckd::a1::36750609,2024 KDIGO CKD::a1,a1,36750609,36750609,exclude,True,True,True,True,True,False,ready,
q2crbench,2024 KDIGO CKD,train,q2crbench::kdigo_ckd::a1::36746743,2024 KDIGO CKD::a1,a1,36746743,36746743,exclude,True,True,True,True,True,False,ready,
