run_id,method,benchmark,split,input_setting,readiness_profile,sensitivity,specificity,precision,balanced_accuracy,macro_f1,false_negative_count,high_confidence_threshold,high_confidence_false_negative_count,full_text_workload,full_text_workload_reduction,unsupported_exclusion_rate,hallucinated_reason_rate,placeholder_status,reference_sensitivity,sensitivity_gap_vs_reference,decision_ready,overall_ready,blocked_by_placeholder,failed_checks
run-test,direct_criteria_aware,csmed_ft,test-small,abstract_only,stage1,1.0,,1.0,1.0,1.0,0,,,0.0,1.0,,,not_evaluated,,,True,True,False,
run-resume,direct_criteria_aware,csmed_ft,test-small,abstract_only,stage1,1.0,1.0,1.0,1.0,1.0,0,,,0.0,1.0,,,not_evaluated,,,True,True,False,
csmed_ft_test_small_abs_siliconflow_smoke_v2,direct_criteria_aware,csmed_ft,test-small,abstract_only,stage1,1.0,0.0,0.3333333333333333,0.5,0.5,0,0.8,0,0.0,1.0,,,not_evaluated,,,True,True,False,
csmed_ft_test_small_abs_preview10_siliconflow_v1,direct_criteria_aware,csmed_ft,test-small,abstract_only,stage1,1.0,0.16666666666666666,0.2857142857142857,0.5833333333333334,0.3650793650793651,0,0.8,0,0.0,1.0,,,not_evaluated,,,True,True,False,
csmed_ft_test_small_abs_siliconflow_v1,direct_criteria_aware,csmed_ft,test-small,abstract_only,stage1,0.9545454545454546,0.0,0.45652173913043476,0.4772727272727273,0.6176470588235293,1,0.8,1,0.0,1.0,,,not_evaluated,,,False,False,False,sensitivity_gte_0.98;high_confidence_false_negative_count_eq_0
csmed_ft_test_small_abs_v0_preview20,direct_criteria_aware,csmed_ft,test-small,abstract_only,stage1,1.0,0.06666666666666667,0.2631578947368421,0.5333333333333333,0.27083333333333337,0,0.8,0,0.0,1.0,,,not_evaluated,,,True,True,False,
csmed_ft_test_small_abs_v1_preview20,direct_criteria_aware,csmed_ft,test-small,abstract_only,stage1,1.0,0.0,0.25,0.5,0.4,0,0.8,0,0.0,1.0,,,not_evaluated,,,True,True,False,
csmed_ft_test_small_abs_binary_smoke_v1,direct_criteria_aware,csmed_ft,test-small,abstract_only,stage1,1.0,0.0,0.4,0.5,0.5714285714285715,0,,,0.0,1.0,,,not_evaluated,,,True,True,False,
csmed_ft_test_small_abs_binary_preview20_v1,direct_criteria_aware,csmed_ft,test-small,abstract_only,stage1,1.0,0.2,0.29411764705882354,0.6,0.3939393939393939,0,,,0.0,1.0,,,not_evaluated,,,True,True,False,
csmed_ft_test_small_abs_benchmark_aligned_v1,direct_criteria_aware,csmed_ft,test-small,abstract_only,stage1,0.8636363636363636,0.5384615384615384,0.6129032258064516,0.701048951048951,0.684071961386573,3,,,0.0,1.0,,,not_evaluated,,,False,False,False,sensitivity_gte_0.98;false_negative_count_eq_0
csmed_ft_test_small_abs_benchmark_aligned_gpt54mini_v1,direct_criteria_aware,csmed_ft,test-small,abstract_only,stage1,0.8181818181818182,0.38461538461538464,0.5294117647058824,0.6013986013986015,0.5714285714285714,4,,,0.0,1.0,,,not_evaluated,,,False,False,False,sensitivity_gte_0.98;false_negative_count_eq_0
csmed_ft_test_small_abs_benchmark_aligned_gpt51_v2,direct_criteria_aware,csmed_ft,test-small,abstract_only,stage1,1.0,0.0,0.5,0.5,0.6666666666666666,0,,,0.0,1.0,,,not_evaluated,,,True,True,False,
csmed_ft_test_small_abs_benchmark_aligned_gpt52_v2,direct_criteria_aware,csmed_ft,test-small,abstract_only,stage1,0.9090909090909091,0.3076923076923077,0.5263157894736842,0.6083916083916083,0.5555555555555556,2,,,0.0,1.0,,,not_evaluated,,,False,False,False,sensitivity_gte_0.98;false_negative_count_eq_0
csmed_ft_test_abs_benchmark_aligned_gpt52_v2_smoke20,direct_criteria_aware,csmed_ft,test,abstract_only,stage1,1.0,0.1111111111111111,0.5789473684210527,0.5555555555555556,0.4666666666666667,0,,,0.0,1.0,,,not_evaluated,,,True,True,False,
