pmid,study_id,gt_record_idx,model,slot_id,domain,gt_domain_str,gt,pred,match
14647140,Clayton 2007,0,gpt-5.4,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Not high,High risk,0
14647140,Clayton 2007,0,gpt-5.4,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Not high,Not high,1
14647140,Clayton 2007,0,gpt-5.4,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias),Not high,High risk,0
14647140,Clayton 2007,0,gpt-5.4,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias),Not high,High risk,0
14647140,Clayton 2007,0,gpt-5.4,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias),Not high,High risk,0
18398460,Menéndez 2008,0,gpt-5.4,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Not high,Not high,1
18398460,Menéndez 2008,0,gpt-5.4,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Not high,Not high,1
18398460,Menéndez 2008,0,gpt-5.4,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias): All outcomes,Not high,Not high,1
18398460,Menéndez 2008,0,gpt-5.4,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias): All outcomes,Not high,Not high,1
18398460,Menéndez 2008,0,gpt-5.4,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias): All outcomes,Not high,Not high,1
19291323,Middleton 2011,0,gpt-5.4,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Not high,Not high,1
19291323,Middleton 2011,0,gpt-5.4,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Not high,Not high,1
19291323,Middleton 2011,0,gpt-5.4,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias): All outcomes,High risk,High risk,1
19291323,Middleton 2011,0,gpt-5.4,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias): All outcomes,Not high,Not high,1
19291323,Middleton 2011,0,gpt-5.4,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias): All outcomes,Not high,Not high,1
19319218,Chien 2008a,0,gpt-5.4,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Not high,Not high,1
19319218,Chien 2008a,0,gpt-5.4,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Not high,High risk,0
19319218,Chien 2008a,0,gpt-5.4,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias): All outcomes,High risk,High risk,1
19319218,Chien 2008a,0,gpt-5.4,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding (performance bias and detection bias): All outcomes,Missing,High risk,0
19319218,Chien 2008a,0,gpt-5.4,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias): All outcomes,Not high,Not high,1
19798037,Nidich 2009,0,gpt-5.4,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Not high,Not high,1
