pmid,study_id,extraction_model,judge_model,slot,judgement,judgement_raw,reasoning
14647140,Clayton 2007,gpt-5.4-mini,gpt-5.4-mini,participants,inconsistent,,"The extracted text adds carers, health professionals, and a pilot sample from Sydney, whereas the official record describes only eligible patients in a randomized outpatient consultation study across 9 services with different recruitment details."
14647140,Clayton 2007,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"Both descriptions identify a question prompt list booklet for advanced cancer/palliative care patients, given shortly before outpatient palliative care consultations to encourage discussion of end-of-life and related concerns."
14647140,Clayton 2007,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes mention several post-consultation questionnaire measures and a follow-up at 3 weeks, but they omit key official primary outcomes such as total questions in the consultation, information preferences/needs, satisfaction, and actual versus preferred involvement, and they also do not match the official STAI timing at 24 hours after consultation."
18398460,Menéndez 2008,gpt-5.4-mini,gpt-5.4-mini,participants,inconsistent,,"The extracted text describes the full randomized cohort of 1,030 pregnant women (mostly HIV-unknown, 23.6% HIV-positive), whereas the official description refers only to 207 HIV-positive pregnant women, so the participant groups do not match."
18398460,Menéndez 2008,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,The extracted text matches the official description by describing two IPTp doses of SP given through antenatal care versus identical placebo.
18398460,Menéndez 2008,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes include many endpoints not reported in the official outcomes (e.g., clinical malaria, placental infection by histology, fetal/infant/neonatal outcomes, postpartum outcomes, and safety/tolerability details), and it also omits some official outcomes such as maternal viral load and mother-to-child transmission of HIV."
19291323,Middleton 2011,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted participants describe eligible acute stroke patients and participating stroke units in NSW acute stroke units, which aligns with the official study population and cluster settings."
19291323,Middleton 2011,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted description matches the official intervention components and control condition, including multidisciplinary workshops, protocols, education, reminders/support, and the abridged guidelines for controls."
19291323,Middleton 2011,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes include death, disability, SF-36, Barthel Index, glucose, temperature, and swallowing screening, but the official outcomes also include aspiration pneumonia and length of hospital stay, while the extracted list adds stroke-related descriptions and clinician compliance not listed officially."
19319218,Chien 2008a,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted participants description matches the official criteria, sample size, randomization, caregiver demographics, and patient illness characteristics with only minor rounding differences in ages."
19319218,Chien 2008a,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted intervention matches the official description in content, format, frequency, duration, delivery, and routine care comparison, with only minor additional detail."
19319218,Chien 2008a,gpt-5.4-mini,gpt-5.4-mini,outcomes,consistent,,"The extracted outcomes match the official list in substance, including patient functioning, rehospitalisation duration, family functioning, caregiver burden, and services utilisation, with only added timing and minor wording details."
19798037,Nidich 2009,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted participants description matches the official eligibility, exclusion, subgroup risk criteria, and source population details, with only unsupported extras like overall sample size and demographics."
19798037,Nidich 2009,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted intervention matches the official description of the 7-step TM course, post-training practice schedule, follow-up meetings, and wait-list control, with only minor wording differences."
