doc_id,split,token_count,p_span_count,i_span_count,o_span_count,total_span_count,has_overlap,overlap_token_count
10036953,train,162,1,17,4,22,False,0
10037531,train,8,1,1,0,2,False,0
10052279,train,350,3,6,10,19,True,8
10071998,train,335,2,4,5,11,False,0
10073522,train,12,1,1,0,2,False,0
10075386,train,221,2,7,10,19,True,2
10077140,train,384,4,6,10,20,False,0
10078672,train,298,3,9,6,18,False,0
10078673,train,291,2,12,10,24,True,4
10080319,train,235,2,9,4,15,True,12
10084579,train,254,6,7,8,21,True,1
10089089,train,331,5,19,7,31,True,5
10091821,train,352,4,6,13,23,True,4
10093945,train,300,7,16,3,26,True,3
10094243,train,182,2,5,6,13,True,3
10097996,train,331,10,11,10,31,True,14
10100592,train,285,5,4,5,14,False,0
10148879,train,204,2,7,10,19,True,14
10155556,train,463,10,13,12,35,True,5
10172265,train,146,2,2,6,10,False,0
10188144,train,367,4,28,10,42,False,0
10190267,train,260,4,10,3,17,False,0
10194485,train,473,7,3,6,16,False,0
10195003,train,202,2,12,5,19,False,0
10197379,train,317,7,8,5,20,True,8
10200837,train,234,3,9,5,17,False,0
10201101,train,168,1,3,9,13,True,4
10203382,train,327,3,1,8,12,False,0
10207709,train,254,1,11,8,20,False,0
10208073,train,169,3,3,9,15,False,0
10209728,train,370,4,12,13,29,False,0
10211492,train,323,3,9,9,21,True,13
10213233,train,403,4,6,6,16,True,10
10213554,train,12,1,1,1,3,True,3
10223244,train,382,4,2,12,18,True,5
10224577,train,436,3,5,10,18,True,2
10225743,train,212,2,5,4,11,True,2
10230191,train,243,3,7,4,14,False,0
10235220,train,367,2,5,7,14,True,5
10337083,train,244,6,2,2,10,False,0
10337433,train,381,4,20,10,34,False,0
10337657,train,556,4,12,11,27,True,14
10337847,train,311,1,10,7,18,False,0
10338217,train,348,7,12,3,22,False,0
10340153,train,153,6,7,4,17,True,10
10348763,train,392,4,24,7,35,True,13
10352330,train,333,5,11,7,23,True,10
10352397,train,416,3,10,18,31,True,2
10355394,train,335,6,6,4,16,True,4
10356632,train,227,4,1,5,10,False,0
10360656,train,291,2,9,12,23,True,1
10361382,train,479,3,9,11,23,True,8
10361648,train,278,2,5,8,15,False,0
