method,setting,split,pred_path,metric_path,metric_name,label,questions_with_gold,complete_questions,complete_rate
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.slot_metrics.json,pico_complete_question_rate,PICO,59,1,0.01694915254237288
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.slot_metrics.json,label_complete_question_rate,P,59,22,0.3728813559322034
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.slot_metrics.json,label_complete_question_rate,I,59,30,0.5084745762711864
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.slot_metrics.json,label_complete_question_rate,C,59,8,0.13559322033898305
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.slot_metrics.json,label_complete_question_rate,O,34,0,0.0
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.slot_metrics.json,pico_complete_question_rate,PICO,20,0,0.0
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,P,20,6,0.3
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,I,20,7,0.35
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.slot_metrics.json,pico_complete_question_rate,PICO,20,1,0.05
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,P,20,8,0.4
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,I,20,6,0.3
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.slot_metrics.json,pico_complete_question_rate,PICO,20,1,0.05
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,P,20,7,0.35
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,I,20,6,0.3
llm,pi_dev20_official_only_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.slot_metrics.json,pico_complete_question_rate,PICO,20,1,0.05
llm,pi_dev20_official_only_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,P,20,8,0.4
llm,pi_dev20_official_only_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,I,20,5,0.25
llm,pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini.slot_metrics.json,pico_complete_question_rate,PICO,20,1,0.05
llm,pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,P,20,6,0.3
llm,pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,I,20,7,0.35
llm,pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini.slot_metrics.json,pico_complete_question_rate,PICO,20,1,0.05
llm,pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,P,20,8,0.4
llm,pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,I,20,7,0.35
llm,pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini.slot_metrics.json,pico_complete_question_rate,PICO,59,8,0.13559322033898305
llm,pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,P,59,18,0.3050847457627119
llm,pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,I,59,32,0.5423728813559322
llm,pi_test59_baseline_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_baseline_3shot_gpt-5.4-mini.slot_metrics.json,pico_complete_question_rate,PICO,59,10,0.1694915254237288
llm,pi_test59_baseline_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_baseline_3shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,P,59,19,0.3220338983050847
llm,pi_test59_baseline_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_baseline_3shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,I,59,29,0.4915254237288136
llm,pi_test59_baseline_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_baseline_5shot_gpt-5.4-mini.slot_metrics.json,pico_complete_question_rate,PICO,59,7,0.11864406779661017
llm,pi_test59_baseline_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_baseline_5shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,P,59,16,0.2711864406779661
llm,pi_test59_baseline_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_baseline_5shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,I,59,30,0.5084745762711864
llm,pi_test59_official_only_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_only_3shot_gpt-5.4-mini.slot_metrics.json,pico_complete_question_rate,PICO,59,7,0.11864406779661017
llm,pi_test59_official_only_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_only_3shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,P,59,18,0.3050847457627119
llm,pi_test59_official_only_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_only_3shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,I,59,29,0.4915254237288136
llm,pi_test59_official_only_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_only_5shot_gpt-5.4-mini.slot_metrics.json,pico_complete_question_rate,PICO,59,7,0.11864406779661017
llm,pi_test59_official_only_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_only_5shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,P,59,17,0.288135593220339
llm,pi_test59_official_only_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_only_5shot_gpt-5.4-mini.slot_metrics.json,label_complete_question_rate,I,59,27,0.4576271186440678
llm,pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini.slot_metrics.json,pico_complete_question_rate,PICO,59,7,0.11864406779661017
