method,setting,split,metric_name,precision,recall,f1,tp,fp,fn,prediction_path,metric_path
openai_llm,zero_shot_limit2,test,exact_span_micro_f1,0.0,0.0,0.0,0,0,4149,results/preds/llm/openai_zero_shot/validated.spans.jsonl,results/metrics/openai_zero_shot.metrics.json
openai_llm,zero_shot_limit2,test,relaxed_span_micro_f1,0.0,0.0,0.0,0,0,4149,results/preds/llm/openai_zero_shot/validated.spans.jsonl,results/metrics/openai_zero_shot.metrics.json
openai_llm,zero_shot_limit2,test,overlap_subset_exact_span_micro_f1,0.0,0.0,0.0,0,0,1322,results/preds/llm/openai_zero_shot/validated.spans.jsonl,results/metrics/openai_zero_shot.metrics.json
openai_llm,zero_shot_text,test,exact_span_micro_f1,0.14727374929735806,0.06314774644492649,0.08839406207827259,262,1517,3887,results/preds/llm/openai_zero_shot_text/validated.spans.jsonl,results/metrics/openai_zero_shot_text.metrics.json
openai_llm,zero_shot_text,test,relaxed_span_micro_f1,0.7953906689151209,0.34104603518920223,0.47739541160593796,1415,364,2734,results/preds/llm/openai_zero_shot_text/validated.spans.jsonl,results/metrics/openai_zero_shot_text.metrics.json
openai_llm,zero_shot_text,test,overlap_subset_exact_span_micro_f1,0.13644524236983843,0.057488653555219364,0.0808940926024481,76,481,1246,results/preds/llm/openai_zero_shot_text/validated.spans.jsonl,results/metrics/openai_zero_shot_text.metrics.json
openai_llm,few_shot_text,test,exact_span_micro_f1,0.1876740947075209,0.12991082188479153,0.1535393818544367,539,2333,3610,results/preds/llm/openai_few_shot_text/validated.spans.jsonl,results/metrics/openai_few_shot_text.metrics.json
openai_llm,few_shot_text,test,relaxed_span_micro_f1,0.7284122562674095,0.5042178838274283,0.5959265061956985,2092,780,2057,results/preds/llm/openai_few_shot_text/validated.spans.jsonl,results/metrics/openai_few_shot_text.metrics.json
openai_llm,few_shot_text,test,overlap_subset_exact_span_micro_f1,0.167973124300112,0.11346444780635401,0.13544018058690743,150,743,1172,results/preds/llm/openai_few_shot_text/validated.spans.jsonl,results/metrics/openai_few_shot_text.metrics.json
openai_llm,zero_shot_text_v2,test,exact_span_micro_f1,0.13336475023562677,0.06820920703784045,0.09025673736246213,283,1839,3866,results/preds/llm/openai_zero_shot_text_v2/validated.spans.jsonl,results/metrics/openai_zero_shot_text_v2.metrics.json
openai_llm,zero_shot_text_v2,test,relaxed_span_micro_f1,0.7770970782280867,0.39744516751024345,0.5259129325466434,1649,473,2500,results/preds/llm/openai_zero_shot_text_v2/validated.spans.jsonl,results/metrics/openai_zero_shot_text_v2.metrics.json
openai_llm,zero_shot_text_v2,test,overlap_subset_exact_span_micro_f1,0.12556732223903178,0.06278366111951589,0.08371154815935453,83,578,1239,results/preds/llm/openai_zero_shot_text_v2/validated.spans.jsonl,results/metrics/openai_zero_shot_text_v2.metrics.json
openai_llm,few_shot_text_v2,test,exact_span_micro_f1,0.15441923467660007,0.1099060014461316,0.12841453111799492,456,2497,3693,results/preds/llm/openai_few_shot_text_v2/validated.spans.jsonl,results/metrics/openai_few_shot_text_v2.metrics.json
openai_llm,few_shot_text_v2,test,relaxed_span_micro_f1,0.7094480189637656,0.504940949626416,0.589974655026753,2095,858,2054,results/preds/llm/openai_few_shot_text_v2/validated.spans.jsonl,results/metrics/openai_few_shot_text_v2.metrics.json
openai_llm,few_shot_text_v2,test,overlap_subset_exact_span_micro_f1,0.14502164502164502,0.10136157337367625,0.1193232413178985,134,790,1188,results/preds/llm/openai_few_shot_text_v2/validated.spans.jsonl,results/metrics/openai_few_shot_text_v2.metrics.json
openai_llm,few_shot_text_v3,test,exact_span_micro_f1,0.14055299539170507,0.10291636538925042,0.1188256574370391,427,2611,3722,results/preds/llm/openai_few_shot_text_v3/validated.spans.jsonl,results/metrics/openai_few_shot_text_v3.metrics.json
openai_llm,few_shot_text_v3,test,relaxed_span_micro_f1,0.7004608294930875,0.5128946734152808,0.592180325587867,2128,910,2021,results/preds/llm/openai_few_shot_text_v3/validated.spans.jsonl,results/metrics/openai_few_shot_text_v3.metrics.json
openai_llm,few_shot_text_v3,test,overlap_subset_exact_span_micro_f1,0.11864406779661017,0.08472012102874432,0.09885260370697263,112,832,1210,results/preds/llm/openai_few_shot_text_v3/validated.spans.jsonl,results/metrics/openai_few_shot_text_v3.metrics.json
openai_llm,few_shot_text_v3_i_only,test,exact_span_micro_f1,0.15091210613598674,0.1096649795131357,0.12702400893355667,455,2560,3694,results/preds/llm/openai_few_shot_text_v3_i_only/validated.spans.jsonl,results/metrics/openai_few_shot_text_v3_i_only.metrics.json
openai_llm,few_shot_text_v3_i_only,test,relaxed_span_micro_f1,0.7077943615257049,0.5143408050132562,0.5957565605806812,2134,881,2015,results/preds/llm/openai_few_shot_text_v3_i_only/validated.spans.jsonl,results/metrics/openai_few_shot_text_v3_i_only.metrics.json
openai_llm,few_shot_text_v3_i_only,test,overlap_subset_exact_span_micro_f1,0.14439655172413793,0.10136157337367625,0.1191111111111111,134,794,1188,results/preds/llm/openai_few_shot_text_v3_i_only/validated.spans.jsonl,results/metrics/openai_few_shot_text_v3_i_only.metrics.json
openai_llm,few_shot_text_v4,test,exact_span_micro_f1,0.16453325007805183,0.12701855868884068,0.14336235038084874,527,2676,3622,results/preds/llm/openai_few_shot_text_v4/validated.spans.jsonl,results/metrics/openai_few_shot_text_v4.metrics.json
openai_llm,few_shot_text_v4,test,relaxed_span_micro_f1,0.6634405245082735,0.5121716076162931,0.5780739934711644,2125,1078,2024,results/preds/llm/openai_few_shot_text_v4/validated.spans.jsonl,results/metrics/openai_few_shot_text_v4.metrics.json
openai_llm,few_shot_text_v4,test,overlap_subset_exact_span_micro_f1,0.13960396039603962,0.10665658093797277,0.12092624356775301,141,869,1181,results/preds/llm/openai_few_shot_text_v4/validated.spans.jsonl,results/metrics/openai_few_shot_text_v4.metrics.json
openai_llm,few_shot_text_v4_i_only,test,exact_span_micro_f1,0.16546762589928057,0.12750060255483248,0.14402395861693434,529,2668,3620,results/preds/llm/openai_few_shot_text_v4_i_only/validated.spans.jsonl,results/metrics/openai_few_shot_text_v4_i_only.metrics.json
openai_llm,few_shot_text_v4_i_only,test,relaxed_span_micro_f1,0.6790741319987488,0.5232586165341045,0.5910699700517289,2171,1026,1978,results/preds/llm/openai_few_shot_text_v4_i_only/validated.spans.jsonl,results/metrics/openai_few_shot_text_v4_i_only.metrics.json
openai_llm,few_shot_text_v4_i_only,test,overlap_subset_exact_span_micro_f1,0.15169660678642716,0.11497730711043873,0.1308089500860585,152,850,1170,results/preds/llm/openai_few_shot_text_v4_i_only/validated.spans.jsonl,results/metrics/openai_few_shot_text_v4_i_only.metrics.json
openai_llm,few_shot_text_newprovider_2026-05-15_r1,test,exact_span_micro_f1,0.15609969392216877,0.08604483007953724,0.11093847110006216,357,1930,3792,results/preds/llm/few_shot_text_newprovider_2026-05-15_r1/validated.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r1.metrics.json
openai_llm,few_shot_text_newprovider_2026-05-15_r1,test,relaxed_span_micro_f1,0.7590730214254482,0.41841407568088695,0.5394655065257924,1736,551,2413,results/preds/llm/few_shot_text_newprovider_2026-05-15_r1/validated.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r1.metrics.json
openai_llm,few_shot_text_newprovider_2026-05-15_r1,test,overlap_subset_exact_span_micro_f1,0.1329479768786127,0.06959152798789713,0.09136047666335649,92,600,1230,results/preds/llm/few_shot_text_newprovider_2026-05-15_r1/validated.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r1.metrics.json
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,exact_span_micro_f1,0.14740866610025488,0.08363461074957822,0.10671997539597108,347,2007,3802,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/validated.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.metrics.json
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,relaxed_span_micro_f1,0.7489379779099405,0.4249216678717763,0.5422112870982624,1763,591,2386,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/validated.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.metrics.json
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,overlap_subset_exact_span_micro_f1,0.12112676056338029,0.06505295007564296,0.08464566929133858,86,624,1236,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/validated.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.metrics.json
llm,few_shot_text_newprovider_2026-05-15_r3_o_mentions,test,exact_span_micro_f1,0.21048901488306165,0.07158351409978309,0.10683453237410072,297,1114,3852,results/preds/llm/few_shot_text_newprovider_2026-05-15_r3_o_mentions/validated.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r3_o_mentions.metrics.json
llm,few_shot_text_newprovider_2026-05-15_r3_o_mentions,test,relaxed_span_micro_f1,0.7250177179305457,0.24656543745480838,0.36798561151079134,1023,388,3126,results/preds/llm/few_shot_text_newprovider_2026-05-15_r3_o_mentions/validated.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r3_o_mentions.metrics.json
llm,few_shot_text_newprovider_2026-05-15_r3_o_mentions,test,overlap_subset_exact_span_micro_f1,0.14516129032258066,0.047655068078668684,0.07175398633257403,63,371,1259,results/preds/llm/few_shot_text_newprovider_2026-05-15_r3_o_mentions/validated.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r3_o_mentions.metrics.json
llm,few_shot_text_bestof_split_v1_dev20,test,exact_span_micro_f1,0.16987179487179488,0.01277416244878284,0.023761488455503247,53,259,4096,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/validated.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20.metrics.json
llm,few_shot_text_bestof_split_v1_dev20,test,relaxed_span_micro_f1,0.6666666666666666,0.05013256206314775,0.0932526339385788,208,104,3941,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/validated.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20.metrics.json
llm,few_shot_text_bestof_split_v1_dev20,test,overlap_subset_exact_span_micro_f1,0.21428571428571427,0.009077155824508321,0.017416545718432513,12,44,1310,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/validated.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20.metrics.json
llm,few_shot_text_bestof_split_v1_dev20,test_dev20,exact_span_micro_f1,0.16987179487179488,0.1083844580777096,0.13233458177278398,53,259,436,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/validated.dev20.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20.dev20.metrics.json
llm,few_shot_text_bestof_split_v1_dev20,test_dev20,relaxed_span_micro_f1,0.6666666666666666,0.42535787321063395,0.5193508114856429,208,104,281,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/validated.dev20.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20.dev20.metrics.json
llm,few_shot_text_bestof_split_v1_dev20,test_dev20,overlap_subset_exact_span_micro_f1,0.21428571428571427,0.14814814814814814,0.1751824817518248,12,44,69,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/validated.dev20.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20.dev20.metrics.json
